player_id,team_id,assists,attempts_on_target,attempts_at_goal,attempts_at_goal_conv_rate,attempts_inside_penalty,attempts_outside_penalty,headed_attempts_at_goal,xg,xg_efficiency,corners
374,7,0,0,1,0,1,0,1,0.02,0x,0
349,47,0,0,0,0,0,0,0,0,0x,0
1014,28,0,0,0,0,0,0,0,0,0x,0
410,7,0,1,2,50,1,1,0,0.49,2.04x,0
397,46,0,5,14,21,14,0,2,2.02,1.49x,0
387,47,0,0,0,0,0,0,0,0,0x,0
251,33,0,0,1,0,1,0,0,0.24,0x,4
501,34,0,0,0,0,0,0,0,0,0x,0
371,34,0,0,0,0,0,0,0,0,0x,0
798,47,0,0,0,0,0,0,0,0,0x,0
1162,33,0,1,1,0,0,1,0,0.06,0x,0
326,33,0,0,2,0,0,2,0,0.05,0x,3
597,34,0,0,0,0,0,0,0,0,0x,0
324,7,0,0,0,0,0,0,0,0,0x,0
453,46,0,0,0,0,0,0,0,0,0x,0
590,16,0,0,1,0,1,0,0,0.05,0x,0
1196,7,0,0,0,0,0,0,0,0,0x,0
1199,10,0,0,0,0,0,0,0,0,0x,0
728,28,0,0,0,0,0,0,0,0,0x,0
1093,47,0,0,3,0,2,1,2,0.13,0x,0
415,34,0,0,0,0,0,0,0,0,0x,0
772,46,0,0,0,0,0,0,0,0,0x,0
428,46,0,1,2,50,2,0,0,0.22,4.61x,0
217,28,0,0,0,0,0,0,0,0,0x,0
197,46,0,1,3,0,3,0,0,0.46,0x,0
201,47,0,1,3,0,1,2,0,0.22,0x,10
376,47,0,0,0,0,0,0,0,0,0x,0
429,2,0,0,0,0,0,0,0,0,0x,0
442,28,0,0,0,0,0,0,0,0,0x,0
1215,22,0,0,0,0,0,0,0,0,0x,0
227,28,0,1,1,0,1,0,1,0.06,0x,0
804,34,0,3,4,25,2,2,0,0.32,3.12x,5
648,16,0,0,0,0,0,0,0,0,0x,0
800,46,0,0,0,0,0,0,0,0,0x,0
592,33,0,0,0,0,0,0,0,0,0x,0
832,34,0,0,4,0,1,3,0,0.11,0x,2
598,33,0,0,0,0,0,0,0,0,0x,0
