player_id,team_id,goals,assists,minutes_played
712,2,8,4,712
685,19,8,3,666
361,32,7,0,537
619,18,6,1,679
461,18,6,1,732
964,19,5,2,595
836,41,5,1,599
508,39,4,1,419
623,28,4,1,440
1186,7,4,1,505
293,20,3,2,174
573,43,3,2,220
1046,5,3,1,279
691,2,3,1,368
232,5,3,1,385
248,30,3,1,394
198,30,3,0,245
340,31,3,0,291
790,7,3,0,324
397,46,3,0,348
1013,28,3,0,348
633,20,3,0,392
1223,11,3,0,409
505,29,3,0,411
582,9,3,0,475
255,35,3,0,490
256,30,2,2,282
195,43,2,2,531
696,5,2,2,561
1118,29,2,1,215
919,12,2,1,255
970,39,2,1,257
808,47,2,1,278
1033,1,2,1,288
1006,24,2,1,309
1055,43,2,1,314
154,25,2,1,349
188,19,2,1,379
878,17,2,1,398
749,46,2,1,415
363,6,2,0,88
451,39,2,0,168
774,4,2,0,173
835,41,2,0,200
95,12,2,0,211
258,9,2,0,224
122,42,2,0,247
259,25,2,0,359
1213,42,2,0,371
347,17,2,0,395
264,43,2,0,437
267,10,2,0,451
167,29,2,0,477
990,41,2,0,499
1224,5,2,0,538
353,2,2,0,658
108,32,1,3,297
61,42,1,3,389
123,18,1,3,442
495,39,1,2,134
898,9,1,2,206
459,5,1,2,362
1184,42,1,2,400
625,34,1,2,431
853,17,1,2,469
18,29,1,2,650
1000,9,1,1,105
172,45,1,1,200
1003,35,1,1,203
1169,17,1,1,204
881,26,1,1,230
1092,46,1,1,231
731,28,1,1,284
483,27,1,1,286
383,20,1,1,299
635,25,1,1,303
900,20,1,1,319
644,25,1,1,330
994,13,1,1,338
301,19,1,1,400
513,13,1,1,413
1187,30,1,1,432
797,34,1,1,439
54,46,1,1,442
53,41,1,1,444
729,10,1,1,525
714,2,1,1,664
69,2,1,1,728
632,45,1,0,11
803,42,1,0,25
747,17,1,0,51
890,1,1,0,52
906,7,1,0,55
393,11,1,0,55
433,35,1,0,58
427,2,1,0,64
463,36,1,0,69
613,6,1,0,77
788,28,1,0,81
1087,4,1,0,88
466,44,1,0,92
529,10,1,0,98
1145,32,1,0,100
421,29,1,0,101
70,5,1,0,107
93,28,1,0,117
993,13,1,0,119
149,46,1,0,123
156,23,1,0,128
467,8,1,0,130
947,27,1,0,145
914,20,1,0,152
428,46,1,0,155
199,11,1,0,160
121,13,1,0,168
410,7,1,0,171
704,32,1,0,184
953,44,1,0,200
1203,22,1,0,201
487,39,1,0,203
829,15,1,0,204
928,13,1,0,204
300,21,1,0,205
804,34,1,0,208
767,18,1,0,209
929,16,1,0,240
4,48,1,0,240
629,25,1,0,242
715,14,1,0,253
1144,40,1,0,255
25,47,1,0,261
12,37,1,0,268
100,1,1,0,270
261,25,1,0,271
861,24,1,0,271
766,32,1,0,273
576,38,1,0,277
1045,4,1,0,283
905,3,1,0,285
931,26,1,0,289
83,26,1,0,297
298,8,1,0,300
687,15,1,0,301
373,41,1,0,301
1138,40,1,0,301
337,48,1,0,304
525,20,1,0,305
391,31,1,0,306
207,21,1,0,307
653,6,1,0,312
133,45,1,0,313
1108,8,1,0,324
779,13,1,0,344
249,3,1,0,354
129,32,1,0,357
707,20,1,0,360
1004,1,1,0,362
401,12,1,0,389
658,8,1,0,389
556,10,1,0,405
435,16,1,0,407
760,4,1,0,412
656,5,1,0,412
220,7,1,0,425
533,30,1,0,432
1122,9,1,0,444
941,35,1,0,447
565,35,1,0,450
1214,17,1,0,533
510,29,1,0,534
689,41,1,0,557
