player_id,team_id,player_name,position,goals,assists,minutes_played
712,2,Lionel Messi,FW,8,4,712
685,19,Kylian Mbappe,FW,8,3,666
361,32,Erling Haaland,FW,7,0,537
619,18,Jude Bellingham,MF,6,1,679
461,18,Harry Kane,FW,6,1,732
964,19,Ousmane Dembele,FW,5,2,595
836,41,Mikel Oyarzabal,FW,5,1,599
508,39,Ismaila Sarr,FW,4,1,419
623,28,Julian Quinones,FW,4,1,440
1186,7,Vinicius Junior,FW,4,1,505
293,20,Deniz Undav,FW,3,2,174
573,43,Johan Manzambi,MF,3,2,220
1046,5,Romelu Lukaku,FW,3,1,279
691,2,Lautaro Martinez,FW,3,1,368
232,5,Charles De Ketelaere,FW,3,1,385
248,30,Cody Gakpo,FW,3,1,394
198,30,Brian Brobbey,FW,3,0,245
340,31,Elijah Just,MF,3,0,291
790,7,Matheus Cunha,FW,3,0,324
397,46,Folarin Balogun,FW,3,0,348
1013,28,Raul Jimenez,FW,3,0,348
633,20,Kai Havertz,FW,3,0,392
1223,11,Yoane Wissa,FW,3,0,409
505,29,Ismael Saibari,MF,3,0,411
582,9,Jonathan David,FW,3,0,475
255,35,Cristiano Ronaldo,FW,3,0,490
256,30,Crysencio Summerville,FW,2,2,282
195,43,Breel Embolo,FW,2,2,531
696,5,Leandro Trossard,FW,2,2,561
1118,29,Soufiane Rahimi,FW,2,1,215
919,12,Nicolas Pepe,FW,2,1,255
970,39,Pape Gueye,MF,2,1,257
808,47,Maxi Araujo,MF,2,1,278
1033,1,Riyad Mahrez,FW,2,1,288
1006,24,Ramin Rezaeian,DF,2,1,309
1055,43,Ruben Vargas,FW,2,1,314
154,25,Ayase Ueda,FW,2,1,349
188,19,Bradley Barcola,FW,2,1,379
878,17,Mostafa Zico,MF,2,1,398
749,46,Malik Tillman,MF,2,1,415
363,6,Ermin Mahmic,MF,2,0,88
451,39,Habib Diarra,MF,2,0,168
774,4,Marko Arnautovic,FW,2,0,173
835,41,Mikel Merino,MF,2,0,200
95,12,Amad Diallo,FW,2,0,211
258,9,Cyle Larin,FW,2,0,224
122,42,Anthony Elanga,FW,2,0,247
259,25,Daichi Kamada,MF,2,0,359
1213,42,Yasin Ayari,MF,2,0,371
347,17,Emam Ashour,MF,2,0,395
264,43,Dan Ndoye,FW,2,0,437
267,10,Daniel Munoz,DF,2,0,451
167,29,Azzedine Ounahi,MF,2,0,477
990,41,Pedro Porro,DF,2,0,499
1224,5,Youri Tielemans,MF,2,0,538
353,2,Enzo Fernandez,MF,2,0,658
108,32,Andreas Schjelderup,MF,1,3,297
61,42,Alexander Isak,FW,1,3,389
123,18,Anthony Gordon,FW,1,3,442
495,39,Iliman Ndiaye,FW,1,2,134
898,9,Nathan Saliba,MF,1,2,206
459,5,Hans Vanaken,MF,1,2,362
1184,42,Viktor Gyokeres,FW,1,2,400
625,34,Julio Enciso,FW,1,2,431
853,17,Mohamed Salah,FW,1,2,469
18,29,Achraf Hakimi,DF,1,2,650
1000,9,Promise David,FW,1,1,105
172,45,Baris Alper Yilmaz,FW,1,1,200
1003,35,Rafael Leao,FW,1,1,203
1169,17,Trezeguet,FW,1,1,204
881,26,Mousa Altamari,FW,1,1,230
1092,46,Sebastian Berhalter,MF,1,1,231
731,28,Luis Romo,MF,1,1,284
483,27,Hwang Inbeom,MF,1,1,286
383,20,Felix Nmecha,MF,1,1,299
635,25,Kaishu Sano,MF,1,1,303
900,20,Nathaniel Brown,DF,1,1,319
644,25,Keito Nakamura,MF,1,1,330
994,13,Petar Sucic,MF,1,1,338
301,19,Desire Doue,FW,1,1,400
513,13,Ivan Perisic,FW,1,1,413
1187,30,Virgil Van Dijk,DF,1,1,432
797,34,Matias Galarza,MF,1,1,439
54,46,Alex Freeman,DF,1,1,442
53,41,Alex Baena,MF,1,1,444
729,10,Luis Diaz,FW,1,1,525
714,2,Lisandro Martinez,DF,1,1,664
69,2,Alexis Mac Allister,MF,1,1,728
632,45,Kaan Ayhan,MF,1,0,11
803,42,Mattias Svanberg,MF,1,0,25
747,17,Mahmoud Saber,MF,1,0,51
890,1,Nadhir Benbouali,FW,1,0,52
906,7,Neymar Jr,FW,1,0,55
393,11,Fiston Mayele,FW,1,0,55
433,35,Goncalo Ramos,FW,1,0,58
427,2,Giovani Lo Celso,MF,1,0,64
463,36,Hassan Alhaydos,FW,1,0,69
613,6,Jovo Lukic,FW,1,0,77
788,28,Mateo Chavez,DF,1,0,81
1087,4,Sasa Kalajdzic,FW,1,0,88
466,44,Hazem Mastouri,FW,1,0,92
529,10,Jaminton Campaz,FW,1,0,98
1145,32,Thelo Aasgaard,MF,1,0,100
421,29,Gessime Yassine,MF,1,0,101
70,5,Alexis Saelemaekers,MF,1,0,107
93,28,Alvaro Fidalgo,MF,1,0,117
993,13,Petar Musa,FW,1,0,119
149,46,Auston Trusty,DF,1,0,123
156,23,Aymen Hussein,FW,1,0,128
467,8,Helio Varela,MF,1,0,130
947,27,Oh Hyeongyu,FW,1,0,145
914,20,Nico Schlotterbeck,DF,1,0,152
428,46,Giovanni Reyna,MF,1,0,155
199,11,Brian Cipenga,FW,1,0,160
121,13,Ante Budimir,FW,1,0,168
410,7,Gabriel Martinelli,FW,1,0,171
704,32,Leo Ostigard,DF,1,0,184
953,44,Omar Rekik,DF,1,0,200
1203,22,Wilson Isidor,FW,1,0,201
487,39,Ibrahim Mbaye,FW,1,0,203
829,15,Michal Sadilek,MF,1,0,204
928,13,Nikola Vlasic,MF,1,0,204
300,21,Derrick Luckassen,DF,1,0,205
804,34,Mauricio,MF,1,0,208
767,18,Marcus Rashford,FW,1,0,209
929,16,Nilson Angulo,FW,1,0,240
4,48,Abbosbek Fayzullaev,MF,1,0,240
629,25,Junya Ito,MF,1,0,242
715,14,Livano Comenencia,MF,1,0,253
1144,40,Thapelo Maseko,FW,1,0,255
25,47,Agustin Canobbio,MF,1,0,261
12,37,Abdulelah Alamri,DF,1,0,268
100,1,Amine Gouiri,FW,1,0,270
261,25,Daizen Maeda,MF,1,0,271
861,24,Mohammad Mohebbi,MF,1,0,271
766,32,Marcus Holmgren Pedersen,DF,1,0,273
576,38,John Mcginn,MF,1,0,277
1045,4,Romano Schmid,MF,1,0,283
905,3,Nestory Irankunda,FW,1,0,285
931,26,Nizar Alrashdan,MF,1,0,289
83,26,Ali Olwan,FW,1,0,297
298,8,Deroy Duarte,MF,1,0,300
687,15,Ladislav Krejci,DF,1,0,301
373,41,Fabian Ruiz,MF,1,0,301
1138,40,Teboho Mokoena,MF,1,0,301
337,48,Eldor Shomurodov,FW,1,0,304
525,20,Jamal Musiala,MF,1,0,305
391,31,Finn Surman,DF,1,0,306
207,21,Caleb Yirenkyi,MF,1,0,307
653,6,Kerim Alajbegovic,FW,1,0,312
133,45,Arda Guler,FW,1,0,313
1108,8,Sidny Lopes Cabral,DF,1,0,324
779,13,Martin Baturina,MF,1,0,344
249,3,Connor Metcalfe,MF,1,0,354
129,32,Antonio Nusa,FW,1,0,357
707,20,Leroy Sane,MF,1,0,360
1004,1,Rafik Belghali,DF,1,0,362
401,12,Franck Kessie,MF,1,0,389
658,8,Kevin Pina,MF,1,0,389
556,10,Jhon Arias,MF,1,0,405
435,16,Gonzalo Plata,FW,1,0,407
760,4,Marcel Sabitzer,MF,1,0,412
656,5,Kevin De Bruyne,MF,1,0,412
220,7,Casemiro,MF,1,0,425
533,30,Jan Paul Van Hecke,DF,1,0,432
1122,9,Stephen Eustaquio,MF,1,0,444
941,35,Nuno Mendes,DF,1,0,447
565,35,Joao Neves,MF,1,0,450
1214,17,Yasser Ibrahim,DF,1,0,533
510,29,Issa Diop,DF,1,0,534
689,41,Lamine Yamal,FW,1,0,557
622,2,Julian Alvarez,FW,1,0,576
253,2,Cristian Romero,DF,1,0,612
437,43,Granit Xhaka,MF,1,0,673
826,19,Michael Olise,FW,0,5,617
204,7,Bruno Guimaraes,MF,0,4,458
190,29,Brahim Diaz,FW,0,4,500
782,32,Martin Odegaard,MF,0,4,537
205,18,Bukayo Saka,FW,0,3,308
396,20,Florian Wirtz,MF,0,3,405
1034,28,Roberto Alvarado,FW,0,3,476
478,1,Houssem Aouar,MF,0,2,191
458,44,Hannibal Mejbri,MF,0,2,298
241,31,Chris Wood,FW,0,2,306
1059,30,Ryan Gravenberch,MF,0,2,374
606,20,Joshua Kimmich,DF,0,2,392
920,5,Nicolas Raskin,MF,0,2,396
296,30,Denzel Dumfries,DF,0,2,432
265,41,Dani Olmo,FW,0,2,456
977,32,Patrick Berg,MF,0,2,519
757,41,Marc Cucurella,DF,0,2,717
601,2,Jose Manuel Lopez,FW,0,1,28
295,6,Dennis Hadzikadunic,DF,0,1,33
1170,40,Tshepang Moremi,FW,0,1,44
1212,8,Yannick Semedo,MF,0,1,46
891,20,Nadiem Amiri,MF,0,1,50
674,25,Koki Ogawa,FW,0,1,56
822,11,Meschack Elia,FW,0,1,59
257,10,Cucho Hernandez,FW,0,1,66
7,39,Abdoulaye Seck,DF,0,1,66
817,30,Memphis Depay,FW,0,1,68
194,21,Brandon Thomas Asante,FW,0,1,70
1133,25,Takefusa Kubo,MF,0,1,77
364,21,Ernest Nuamah,FW,0,1,109
678,25,Kou Itakura,DF,0,1,138
452,17,Haissem Hassan,FW,0,1,138
659,16,Kevin Rodriguez,FW,0,1,146
618,10,Juan Quintero,MF,0,1,146
66,15,Alexandr Sojka,MF,0,1,155
956,45,Orkun Kokcu,MF,0,1,172
434,2,Gonzalo Montiel,DF,0,1,180
541,22,Jean Kevin Duverne,DF,0,1,186
1197,12,Wilfried Singo,DF,0,1,190
640,17,Karim Hafez,DF,0,1,198
512,6,Ivan Basic,MF,0,1,200
825,4,Michael Gregoritsch,FW,0,1,207
722,42,Lucas Bergvall,MF,0,1,207
1153,30,Tijjani Reijnders,MF,0,1,211
983,3,Paul Okon Engstler,MF,0,1,214
764,41,Marcos Llorente,DF,0,1,217
235,29,Chemsdine Talbi,MF,0,1,217
1151,5,Thomas Meunier,DF,0,1,226
329,36,Edmilson Junior,FW,0,1,228
1154,31,Tim Payne,DF,0,1,241
41,48,Akmal Mozgovoy,MF,0,1,243
244,46,Christian Pulisic,FW,0,1,253
727,7,Lucas Paqueta,MF,0,1,255
1206,4,Xaver Schlager,MF,0,1,265
917,39,Nicolas Jackson,FW,0,1,271
388,41,Ferran Torres,FW,0,1,274
911,2,Nico Gonzalez,MF,0,1,275
101,23,Amir Alammari,MF,0,1,279
375,2,Facundo Medina,DF,0,1,283
688,39,Lamine Camara,MF,0,1,287
334,26,Ehsan Haddad,DF,0,1,287
789,13,Mateo Kovacic,MF,0,1,293
1032,25,Ritsu Doan,MF,0,1,295
701,27,Lee Kangin,MF,0,1,300
1189,15,Vladimir Coufal,DF,0,1,301
274,4,David Alaba,DF,0,1,302
489,12,Ibrahim Sangare,MF,0,1,305
873,18,Morgan Rogers,MF,0,1,308
937,26,Noor Alrawabdeh,MF,0,1,309
1015,7,Rayan,FW,0,1,327
139,11,Arthur Masuaku,DF,0,1,340
563,35,Joao Cancelo,DF,0,1,342
734,13,Luka Modric,MF,0,1,360
1209,12,Yan Diomande,FW,0,1,361
732,10,Luis Suarez,FW,0,1,365
1060,8,Ryan Mendes,FW,0,1,366
1091,6,Sead Kolasinac,DF,0,1,373
989,35,Pedro Neto,FW,0,1,381
593,28,Jorge Sanchez,DF,0,1,388
230,29,Chadi Riad,DF,0,1,390
360,28,Erik Lira,MF,0,1,391
148,19,Aurelien Tchouameni,MF,0,1,407
991,16,Pedro Vite,MF,0,1,407
231,11,Chancel Mbemba,DF,0,1,409
676,4,Konrad Laimer,MF,0,1,412
607,13,Josip Stanisic,DF,0,1,413
1063,39,Sadio Mane,FW,0,1,421
882,39,Moussa Niakhate,DF,0,1,459
1042,2,Rodrigo De Paul,MF,0,1,466
203,35,Bruno Fernandes,MF,0,1,471
277,32,David Moller Wolfe,DF,0,1,477
756,17,Marawan Attia,MF,0,1,495
286,18,Declan Rice,MF,0,1,519
448,10,Gustavo Puerta,DF,0,1,520
409,7,Gabriel Magalhaes,DF,0,1,520
1156,5,Timothy Castagne,DF,0,1,546
849,17,Mohamed Hany,DF,0,1,546
24,19,Adrien Rabiot,MF,0,1,555
1028,43,Ricardo Rodriguez,DF,0,1,567
342,18,Elliot Anderson,MF,0,1,693
157,41,Aymeric Laporte,DF,0,1,713
2,11,Aaron Tshibola,MF,0,0,0
19,1,Achref Abada,DF,0,0,0
273,4,David Affengruber,DF,0,0,0
36,37,Aiman Yahya,FW,0,0,0
843,17,Mohamed Alaa,GK,0,0,0
1074,45,Samet Akaydin,DF,0,0,0
901,37,Nawaf Alaqidi,GK,0,0,0
5,26,Abdallah Alfakhori,GK,0,0,0
1241,37,Ziyad Aljohani,MF,0,0,0
28,37,Ahmed Alkassar,GK,0,0,0
1068,37,Saleh Alshehri,FW,0,0,0
889,17,Nabil Donga,MF,0,0,0
147,43,Aurele Amenda,DF,0,0,0
604,21,Joseph Anang,GK,0,0,0
1047,47,Ronald Araujo,DF,0,0,0
550,16,Jeremy Arevalo,FW,0,0,0
21,44,Adam Arous,DF,0,0,0
662,44,Khalil Ayari,MF,0,0,0
245,21,Christopher Bonsu Baah,FW,0,0,0
106,26,Anas Badawi,DF,0,0,0
169,27,Bae Junho,MF,0,0,0
938,26,Nour Baniateyah,GK,0,0,0
677,31,Kosta Barbarouses,FW,0,0,0
823,36,Meshaal Barsham,GK,0,0,0
320,11,Dylan Batubinsika,DF,0,0,0
948,20,Oliver Baumann,GK,0,0,0
92,45,Altay Bayindir,GK,0,0,0
686,31,Lachlan Bayliss,MF,0,0,0
1226,29,Youssef Belammari,DF,0,0,0
1062,44,Sabri Ben Hessen,GK,0,0,0
432,35,Goncalo Inacio,DF,0,0,0
146,21,Augustine Boakye,MF,0,0,0
